time	V(vds)
2.287742277287501e-006	4.691398e+001
2.289742277287316e-006	4.630216e+001
2.291742277287130e-006	4.571694e+001
2.293742277286945e-006	4.515833e+001
2.296170848715291e-006	4.451113e+001
2.298599420143638e-006	4.388211e+001
2.301027991571984e-006	4.327128e+001
2.303456563000330e-006	4.267864e+001
2.305885134428677e-006	4.210418e+001
2.308313705857023e-006	4.154790e+001
2.310742277285369e-006	4.100981e+001
2.317742277284721e-006	3.951598e+001
2.324742277284072e-006	3.804057e+001
2.331742277283423e-006	3.658360e+001
2.338742277282774e-006	3.514504e+001
2.345742277282126e-006	3.372491e+001
2.352742277281477e-006	3.232321e+001
2.359742277280828e-006	3.093993e+001
2.374599420136594e-006	2.796578e+001
2.389456562992360e-006	2.499482e+001
2.404313705848126e-006	2.202703e+001
2.419170848703892e-006	1.906243e+001
2.434027991559658e-006	1.610101e+001
2.448885134415424e-006	1.314277e+001
2.463742277271190e-006	1.018771e+001
2.471599420127605e-006	8.631745e+000
2.479456562984019e-006	7.079214e+000
2.487313705840434e-006	5.530119e+000
2.495170848696849e-006	3.984461e+000
2.503027991553264e-006	2.442240e+000
2.510885134409678e-006	9.034552e-001
2.518742277266093e-006	-6.318925e-001
2.519742277266000e-006	-8.266857e-001
2.520742277265908e-006	-1.019093e+000
2.521742277265815e-006	-1.202383e+000
2.522466587934766e-006	-1.316224e+000
2.523122928756519e-006	-1.390218e+000
2.523652130010734e-006	-1.425076e+000
2.523995797371796e-006	-1.435844e+000
2.524329850447146e-006	-1.440246e+000
2.524687924444248e-006	-1.442248e+000
2.525073433660378e-006	-1.443046e+000
2.525467256808082e-006	-1.443286e+000
2.525904713954110e-006	-1.443335e+000
2.526449142231527e-006	-1.443332e+000
2.527264532993165e-006	-1.443321e+000
2.528264532993072e-006	-1.443316e+000
2.529264532992979e-006	-1.443314e+000
2.530264532992887e-006	-1.443312e+000
3.028264532946735e-006	-1.442507e+000
4.052264532851835e-006	-1.440835e+000
5.076264532756936e-006	-1.439138e+000
5.999264532671397e-006	-1.437588e+000
6.000000000000146e-006	-1.437587e+000
